Year,District,Crime,Cases
2019,Chh. Sambhaji Nagar,Attempts to Commit Suicide,9.0
2019,Beed,Attempts to Commit Suicide,14.0
2019,Bhandara,Attempts to Commit Suicide,2.0
2019,Buldhana,Attempts to Commit Suicide,10.0
2019,Chandrapur,Attempts to Commit Suicide,3.0
2019,Dhule,Attempts to Commit Suicide,6.0
2019,Gadchiroli,Attempts to Commit Suicide,
2019,Gondia,Attempts to Commit Suicide,2.0
2019,Hingoli,Attempts to Commit Suicide,5.0
2019,Jalgaon,Attempts to Commit Suicide,6.0
2019,Jalna,Attempts to Commit Suicide,33.0
2019,Kolhapur,Attempts to Commit Suicide,13.0
2019,Latur,Attempts to Commit Suicide,2.0
2019,Mumbai,Attempts to Commit Suicide,13.0
2019,Nagpur,Attempts to Commit Suicide,5.0
2019,Nanded,Attempts to Commit Suicide,8.0
2019,Nandurbar,Attempts to Commit Suicide,3.0
2019,Nashik,Attempts to Commit Suicide,6.0
2019,Dharashiv,Attempts to Commit Suicide,7.0
2019,Palghar,Attempts to Commit Suicide,
2019,Parbhani,Attempts to Commit Suicide,7.0
2019,Pune,Attempts to Commit Suicide,13.0
2019,Raigad,Attempts to Commit Suicide,
2019,Ratnagiri,Attempts to Commit Suicide,
2019,Sangli,Attempts to Commit Suicide,6.0
2019,Satara,Attempts to Commit Suicide,14.0
2019,Sindhudurg,Attempts to Commit Suicide,
2019,Solapur,Attempts to Commit Suicide,17.0
2019,Thane,Attempts to Commit Suicide,3.0
2019,Wardha,Attempts to Commit Suicide,1.0
2019,Washim,Attempts to Commit Suicide,3.0
2019,Yavatmal,Attempts to Commit Suicide,20.0
2020,Ahilyanagar,Attempts to Commit Suicide,4.0
2020,Akola,Attempts to Commit Suicide,7.0
2020,Amravati,Attempts to Commit Suicide,12.0
2020,Chh. Sambhaji Nagar,Attempts to Commit Suicide,12.0
2020,Beed,Attempts to Commit Suicide,17.0
2020,Bhandara,Attempts to Commit Suicide,1.0
2020,Buldhana,Attempts to Commit Suicide,6.0
2020,Chandrapur,Attempts to Commit Suicide,
2020,Dhule,Attempts to Commit Suicide,3.0
2020,Gadchiroli,Attempts to Commit Suicide,1.0
2020,Gondia,Attempts to Commit Suicide,
2020,Hingoli,Attempts to Commit Suicide,1.0
2020,Jalgaon,Attempts to Commit Suicide,8.0
2020,Jalna,Attempts to Commit Suicide,
2020,Kolhapur,Attempts to Commit Suicide,6.0
2020,Latur,Attempts to Commit Suicide,1.0
2020,Mumbai,Attempts to Commit Suicide,14.0
2020,Nagpur,Attempts to Commit Suicide,12.0
2020,Nanded,Attempts to Commit Suicide,12.0
2020,Nandurbar,Attempts to Commit Suicide,
2020,Nashik,Attempts to Commit Suicide,14.0
2020,Dharashiv,Attempts to Commit Suicide,2.0
2020,Palghar,Attempts to Commit Suicide,
2020,Parbhani,Attempts to Commit Suicide,14.0
2020,Pune,Attempts to Commit Suicide,18.0
2020,Raigad,Attempts to Commit Suicide,
2020,Ratnagiri,Attempts to Commit Suicide,1.0
2020,Sangli,Attempts to Commit Suicide,5.0
2020,Satara,Attempts to Commit Suicide,9.0
2020,Sindhudurg,Attempts to Commit Suicide,
2020,Solapur,Attempts to Commit Suicide,22.0
2020,Thane,Attempts to Commit Suicide,2.0
2020,Wardha,Attempts to Commit Suicide,2.0
2020,Washim,Attempts to Commit Suicide,2.0
2020,Yavatmal,Attempts to Commit Suicide,4.0
2021,Ahilyanagar,Attempts to Commit Suicide,13.0
2021,Akola,Attempts to Commit Suicide,16.0
2021,Amravati,Attempts to Commit Suicide,6.0
2021,Chh. Sambhaji Nagar,Attempts to Commit Suicide,17.0
2021,Beed,Attempts to Commit Suicide,10.0
2021,Bhandara,Attempts to Commit Suicide,2.0
2021,Buldhana,Attempts to Commit Suicide,10.0
2021,Chandrapur,Attempts to Commit Suicide,2.0
2021,Dhule,Attempts to Commit Suicide,4.0
2021,Gadchiroli,Attempts to Commit Suicide,1.0
2021,Gondia,Attempts to Commit Suicide,7.0
2021,Hingoli,Attempts to Commit Suicide,
2021,Jalgaon,Attempts to Commit Suicide,7.0
2021,Jalna,Attempts to Commit Suicide,
2021,Kolhapur,Attempts to Commit Suicide,16.0
2021,Latur,Attempts to Commit Suicide,13.0
2021,Mumbai,Attempts to Commit Suicide,14.0
2021,Nagpur,Attempts to Commit Suicide,7.0
